video_index,video_path,processing_count,total_processing_time,avg_total_processing_time,total_test_time,face_detection_time,face_tracking_time,roi_selection_time,signal_extraction_time,signal_extraction_preprocess_time,signal_extraction_inference_time,hr_extraction_time,avg_face_detection_time,avg_face_tracking_time,avg_roi_selection_time,avg_signal_extraction_time,avg_signal_extraction_preprocess_time,avg_signal_extraction_inference_time,avg_hr_extraction_time,detected_faces,total_processed_faces,success,heart_rates,heart_rates_frame_idx,error_message,timestamp
0,/home/pme/ta/data/camera/00/video_00_20250503_152120.npy,1797,35.46948862075806,19.73816840331556,35.74591565132141,34.03259754180908,0.1801443099975586,0.36817193031311035,0.8222665786743164,0.627995491027832,0.1900806427001953,0.02812027931213379,18.938562905848126,0.1002472509724867,0.20488143033562067,137.04442977905273,104.66591517130534,31.68010711669922,4.686713218688965,1,6,True,"{""0"":[70.3125;63.28125;49.21875;63.28125;91.40625;84.375]}","{""0"":[179;486;792;1084;1389;1694]}",,2025-07-02T01:25:42.137414
1,/home/pme/ta/data/camera/01/video_01_20250503_152345.npy,1796,35.696969747543335,19.875818344957313,35.9885573387146,34.386746883392334,0.1837468147277832,0.22242045402526855,0.8212711811065674,0.6254208087921143,0.19019794464111328,0.04444265365600586,19.146295592089274,0.10230891688629354,0.12384212362208716,136.8785301844279,104.23680146535237,31.699657440185547,7.4071089426676435,1,6,True,"{""0"":[91.40625;49.21875;63.28125;70.3125;70.3125;98.4375]}","{""0"":[179;485;780;1063;1370;1677]}",,2025-07-02T01:26:30.901410
2,/home/pme/ta/data/camera/02/video_02_20250503_152754.npy,1796,35.37478280067444,19.696426949150577,35.662864446640015,34.089590549468994,0.18395686149597168,0.18450164794921875,0.8301045894622803,0.6348845958709717,0.19014382362365723,0.04816031455993652,18.98084106317873,0.10242586942982833,0.10272920264433115,138.35076491038004,105.81409931182861,31.690637270609535,8.026719093322754,1,6,True,"{""0"":[56.25;49.21875;77.34375;63.28125;77.34375;105.46875]}","{""0"":[179;484;792;1083;1389;1695]}",,2025-07-02T01:27:20.705397
3,/home/pme/ta/data/camera/03/video_03_20250503_153102.npy,1796,36.76930379867554,20.47288630215787,37.05561947822571,34.07165575027466,0.2321491241455078,0.6848607063293457,1.6620571613311768,1.2693517208099365,0.3806145191192627,0.061080217361450195,18.970855094807714,0.1292589778093028,0.38132556031700765,138.50476344426474,105.7793100674947,31.71787659327189,5.090018113454183,2,12,True,"{""0"":[77.34375;98.4375;105.46875;49.21875;70.3125;77.34375];""1"":[70.3125;84.375;70.3125;91.40625;49.21875;63.28125]}","{""0"":[179;475;768;1048;1343;1636];""1"":[179;475;768;1048;1343;1636]}",,2025-07-02T01:28:13.921416
4,/home/pme/ta/data/camera/04/video_04_20250503_153508.npy,1796,37.164833307266235,20.693114313622626,37.449824810028076,34.75402760505676,0.23372626304626465,0.40062570571899414,1.6531875133514404,1.2617864608764648,0.38062548637390137,0.06605911254882812,19.350794880321136,0.13013711750905604,0.22306553770545332,137.76562611262003,105.1488717397054,31.718790531158447,5.504926045735677,2,12,True,"{""0"":[56.25;56.25;63.28125;49.21875;56.25;56.25];""1"":[77.34375;84.375;56.25;56.25;70.3125;70.3125]}","{""0"":[179;473;765;1043;1331;1619];""1"":[179;473;765;1043;1331;1619]}",,2025-07-02T01:29:08.393397
5,/home/pme/ta/data/camera/05/video_05_20250503_153825.npy,1796,37.49898910522461,20.879169880414594,37.802295207977295,35.123461961746216,0.23730206489562988,0.32410597801208496,1.6893649101257324,1.2973628044128418,0.38122010231018066,0.06655335426330566,19.55649329718609,0.132128098494226,0.18045989867042592,140.78040917714438,108.11356703440349,31.768341859181724,5.546112855275472,2,12,True,"{""0"":[70.3125;49.21875;84.375;91.40625;70.3125;56.25];""1"":[56.25;84.375;77.34375;84.375;84.375;77.34375]}","{""0"":[179;472;765;1039;1323;1603];""1"":[179;472;765;1039;1323;1603]}",,2025-07-02T01:30:03.629421
6,/home/pme/ta/data/camera/06/video_06_20250503_154102.npy,1796,40.5321741104126,22.56802567394911,40.83814978599548,35.99724340438843,0.29630064964294434,1.1337890625,2.935530662536621,2.2435929775238037,0.6710867881774902,0.08560490608215332,20.04300857705369,0.1649780900016394,0.6312856695434298,139.78717440650576,106.83776083446685,31.956513722737633,4.076424099150158,3,21,True,"{""0"":[70.3125;91.40625;91.40625;70.3125;105.46875;91.40625;63.28125];""1"":[70.3125;49.21875;70.3125;49.21875;70.3125;56.25;56.25];""2"":[77.34375;70.3125;63.28125;84.375;84.375;77.34375;77.34375]}","{""0"":[179;455;727;995;1248;1509;1765];""1"":[179;455;727;995;1248;1509;1765];""2"":[179;455;727;995;1248;1509;1765]}",,2025-07-02T01:31:02.129456
7,/home/pme/ta/data/camera/07/video_07_20250503_154629.npy,1796,40.827666997909546,22.73255400774474,41.13131070137024,36.71810483932495,0.30562639236450195,0.6441082954406738,2.976572275161743,2.2832865715026855,0.6715271472930908,0.1002049446105957,20.444379086483824,0.170170597084912,0.35863490837454,141.74153691246397,108.72793197631836,31.977483204432897,4.7716640290759855,3,21,True,"{""0"":[98.4375;70.3125;84.375;56.25;56.25;98.4375;49.21875];""1"":[49.21875;98.4375;56.25;56.25;49.21875;70.3125;70.3125];""2"":[49.21875;91.40625;98.4375;56.25;77.34375;84.375;70.3125]}","{""0"":[179;446;712;980;1232;1498;1753];""1"":[179;446;712;980;1232;1498;1753];""2"":[179;446;712;980;1232;1498;1753]}",,2025-07-02T01:31:58.237438
8,/home/pme/ta/data/camera/08/video_08_20250503_155339.npy,1796,41.29978322982788,22.995424960928663,41.608033418655396,37.27185130119324,0.31556177139282227,0.5275678634643555,3.001924514770508,2.31111478805542,0.6691575050354004,0.09873104095458984,20.75270116992942,0.17570254531894336,0.29374602642781483,142.94878641764322,110.0530851454962,31.864643096923828,4.701478140694754,3,21,True,"{""0"":[84.375;77.34375;56.25;70.3125;49.21875;63.28125;56.25];""1"":[63.28125;91.40625;98.4375;91.40625;70.3125;56.25;63.28125];""2"":[77.34375;63.28125;105.46875;63.28125;63.28125;63.28125;112.5]}","{""0"":[179;442;702;960;1211;1475;1734];""1"":[179;442;702;960;1211;1475;1734];""2"":[179;442;702;960;1211;1475;1734]}",,2025-07-02T01:32:47.365445
9,/home/pme/ta/data/camera/09/video_09_20250503_155545.npy,1796,43.7901496887207,24.382043256526003,44.093950033187866,37.57085847854614,0.3997313976287842,1.5595402717590332,4.027626037597656,3.085996389389038,0.9059629440307617,0.12326741218566895,20.91918623527068,0.22256759333451234,0.8683409085518002,143.84378705705916,110.21415676389422,32.35581942967006,4.402407578059605,4,28,True,"{""0"":[70.3125;63.28125;98.4375;63.28125;56.25;77.34375;56.25];""1"":[70.3125;70.3125;63.28125;84.375;49.21875;77.34375;77.34375];""2"":[49.21875;56.25;77.34375;98.4375;77.34375;49.21875;63.28125];""3"":[84.375;70.3125;70.3125;84.375;56.25;70.3125;105.46875]}","{""0"":[179;430;678;923;1155;1393;1638];""1"":[179;430;678;923;1155;1393;1638];""2"":[179;430;678;923;1155;1393;1638];""3"":[179;430;678;923;1155;1393;1638]}",,2025-07-02T01:33:44.113448
